,precision,recall,f1-score,support
airport,0.38461538461538464,0.46875,0.4225352112676056,32.0
shopping_mall,0.46938775510204084,0.696969696969697,0.5609756097560976,33.0
park,0.6595744680851063,0.9393939393939394,0.775,33.0
street_pedestrian,0.27586206896551724,0.48484848484848486,0.3516483516483517,33.0
street_traffic,1.0,0.36363636363636365,0.5333333333333333,33.0
metro_station,0.4482758620689655,0.3939393939393939,0.41935483870967744,33.0
public_square,0.16666666666666666,0.030303030303030304,0.05128205128205128,33.0
metro,0.2962962962962963,0.48484848484848486,0.367816091954023,33.0
bus,0.0,0.0,0.0,33.0
tram,0.34285714285714286,0.36363636363636365,0.35294117647058826,33.0
accuracy,0.42249240121580545,0.42249240121580545,0.42249240121580545,0.42249240121580545
macro avg,0.404353564465712,0.4226325757575757,0.3834886664421728,329.0
weighted avg,0.40441355893334224,0.42249240121580545,0.38336998393510463,329.0
