,precision,recall,f1-score,support
airport,0.6785714285714286,0.5757575757575758,0.6229508196721312,33.0
shopping_mall,0.5365853658536586,0.6666666666666666,0.5945945945945946,33.0
park,0.7804878048780488,0.9696969696969697,0.8648648648648649,33.0
street_pedestrian,0.46153846153846156,0.36363636363636365,0.4067796610169492,33.0
street_traffic,0.7666666666666667,0.696969696969697,0.7301587301587301,33.0
metro_station,0.4,0.5454545454545454,0.46153846153846156,33.0
public_square,0.4230769230769231,0.3333333333333333,0.3728813559322034,33.0
metro,0.5714285714285714,0.48484848484848486,0.5245901639344263,33.0
bus,0.6923076923076923,0.8181818181818182,0.75,33.0
tram,0.5384615384615384,0.42424242424242425,0.4745762711864407,33.0
accuracy,0.5878787878787879,0.5878787878787879,0.5878787878787879,0.5878787878787879
macro avg,0.584912445278299,0.5878787878787879,0.5802934922898801,330.0
weighted avg,0.5849124452782989,0.5878787878787879,0.5802934922898803,330.0
