,precision,recall,f1-score,support
airport,0.8,0.36363636363636365,0.5,33.0
shopping_mall,0.5238095238095238,0.6666666666666666,0.5866666666666667,33.0
park,0.7804878048780488,0.9696969696969697,0.8648648648648649,33.0
street_pedestrian,0.4,0.42424242424242425,0.4117647058823529,33.0
street_traffic,0.7878787878787878,0.7878787878787878,0.7878787878787878,33.0
metro_station,0.5172413793103449,0.45454545454545453,0.4838709677419355,33.0
public_square,0.30434782608695654,0.21212121212121213,0.25,33.0
metro,0.68,0.5151515151515151,0.5862068965517241,33.0
bus,0.5357142857142857,0.9090909090909091,0.6741573033707865,33.0
tram,0.41935483870967744,0.3939393939393939,0.40625,33.0
accuracy,0.5696969696969697,0.5696969696969697,0.5696969696969697,0.5696969696969697
macro avg,0.5748834446387625,0.5696969696969697,0.5551660192957117,330.0
weighted avg,0.5748834446387625,0.5696969696969697,0.5551660192957119,330.0
