,precision,recall,f1-score,support
airport,0.4,0.12121212121212122,0.18604651162790697,33.0
shopping_mall,0.26548672566371684,0.9090909090909091,0.410958904109589,33.0
park,1.0,0.09090909090909091,0.16666666666666666,33.0
street_pedestrian,0.0,0.0,0.0,33.0
street_traffic,0.6428571428571429,0.2727272727272727,0.3829787234042553,33.0
metro_station,0.25287356321839083,0.6666666666666666,0.36666666666666664,33.0
public_square,0.34615384615384615,0.2727272727272727,0.3050847457627119,33.0
metro,0.21739130434782608,0.30303030303030304,0.25316455696202533,33.0
bus,0.0,0.0,0.0,33.0
tram,0.41935483870967744,0.3939393939393939,0.40625,33.0
accuracy,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.30303030303030304
macro avg,0.35441174209506,0.30303030303030304,0.2477816775199822,330.0
weighted avg,0.35441174209506004,0.30303030303030304,0.2477816775199822,330.0
