,precision,recall,f1-score,support
airport,0.5,0.40625,0.4482758620689655,32.0
shopping_mall,0.46808510638297873,0.6666666666666666,0.55,33.0
park,0.6078431372549019,0.9393939393939394,0.7380952380952381,33.0
street_pedestrian,0.4,0.30303030303030304,0.3448275862068966,33.0
street_traffic,0.8695652173913043,0.6060606060606061,0.7142857142857143,33.0
metro_station,0.36,0.5454545454545454,0.43373493975903615,33.0
public_square,0.28,0.21212121212121213,0.2413793103448276,33.0
metro,0.3939393939393939,0.3939393939393939,0.3939393939393939,33.0
bus,0.5454545454545454,0.18181818181818182,0.2727272727272727,33.0
tram,0.5263157894736842,0.6060606060606061,0.5633802816901409,33.0
accuracy,0.48632218844984804,0.48632218844984804,0.48632218844984804,0.48632218844984804
macro avg,0.4951203189896808,0.4860795454545454,0.4700645599117486,329.0
weighted avg,0.4951054871325066,0.48632218844984804,0.47013078695686344,329.0
