,precision,recall,f1-score,support
airport,0.5151515151515151,0.5151515151515151,0.5151515151515151,33.0
shopping_mall,0.5625,0.8181818181818182,0.6666666666666666,33.0
park,0.7804878048780488,0.9696969696969697,0.8648648648648649,33.0
street_pedestrian,0.36363636363636365,0.24242424242424243,0.2909090909090909,33.0
street_traffic,0.6829268292682927,0.8484848484848485,0.7567567567567568,33.0
metro_station,0.47368421052631576,0.2727272727272727,0.34615384615384615,33.0
public_square,0.38235294117647056,0.3939393939393939,0.3880597014925373,33.0
metro,0.5666666666666667,0.5151515151515151,0.5396825396825397,33.0
bus,0.5897435897435898,0.696969696969697,0.6388888888888888,33.0
tram,0.4090909090909091,0.28125,0.3333333333333333,32.0
accuracy,0.5562310030395137,0.5562310030395137,0.5562310030395137,0.5562310030395137
macro avg,0.5326240830138171,0.5553977272727273,0.5340467203900039,329.0
weighted avg,0.5329995637856193,0.5562310030395137,0.5346567914752826,329.0
