,precision,recall,f1-score,support
airport,0.0,0.0,0.0,33.0
shopping_mall,0.3125,0.45454545454545453,0.37037037037037035,33.0
park,0.5641025641025641,0.6666666666666666,0.6111111111111112,33.0
street_pedestrian,0.2894736842105263,0.3333333333333333,0.30985915492957744,33.0
street_traffic,0.35,0.6363636363636364,0.45161290322580644,33.0
metro_station,0.25,0.36363636363636365,0.2962962962962963,33.0
public_square,0.2,0.06060606060606061,0.09302325581395349,33.0
metro,0.45,0.2727272727272727,0.33962264150943394,33.0
bus,0.5789473684210527,0.3333333333333333,0.4230769230769231,33.0
tram,0.3125,0.45454545454545453,0.37037037037037035,33.0
accuracy,0.3575757575757576,0.3575757575757576,0.3575757575757576,0.3575757575757576
macro avg,0.3307523616734143,0.3575757575757576,0.32653430267038425,330.0
weighted avg,0.3307523616734143,0.3575757575757576,0.32653430267038425,330.0
