,precision,recall,f1-score,support
airport,0.7419354838709677,0.696969696969697,0.71875,33.0
bus,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
metro,0.9615384615384616,0.7575757575757576,0.847457627118644,33.0
metro_station,0.84375,0.8181818181818182,0.8307692307692308,33.0
park,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0
public_square,0.7096774193548387,0.6666666666666666,0.6875,33.0
shopping_mall,0.7027027027027027,0.7878787878787878,0.7428571428571429,33.0
street_pedestrian,0.6363636363636364,0.6363636363636364,0.6363636363636364,33.0
street_traffic,0.9032258064516129,0.8484848484848485,0.875,33.0
tram,0.825,1.0,0.9041095890410958,33.0
accuracy,0.8121212121212121,0.8121212121212121,0.8121212121212121,0.8121212121212121
macro avg,0.8152476338565048,0.8121212121212121,0.8109737397427746,330.0
weighted avg,0.8152476338565049,0.8121212121212121,0.8109737397427746,330.0
