,precision,recall,f1-score,support
airport,0.8235294117647058,0.42424242424242425,0.56,33.0
bus,0.9565217391304348,0.6666666666666666,0.7857142857142857,33.0
metro,0.6511627906976745,0.8484848484848485,0.7368421052631579,33.0
metro_station,0.6764705882352942,0.696969696969697,0.6865671641791045,33.0
park,0.775,0.9393939393939394,0.8493150684931506,33.0
public_square,0.7142857142857143,0.45454545454545453,0.5555555555555556,33.0
shopping_mall,0.5625,0.8181818181818182,0.6666666666666666,33.0
street_pedestrian,0.6,0.6363636363636364,0.6176470588235294,33.0
street_traffic,0.8571428571428571,0.9090909090909091,0.8823529411764706,33.0
tram,0.7575757575757576,0.78125,0.7692307692307693,32.0
accuracy,0.7173252279635258,0.7173252279635258,0.7173252279635258,0.7173252279635258
macro avg,0.7374188858832438,0.7175189393939394,0.710989161510269,329.0
weighted avg,0.7373576187960326,0.7173252279635258,0.7108121353469848,329.0
