,precision,recall,f1-score,support
airport,0.5,0.3939393939393939,0.4406779661016949,33.0
bus,1.0,0.18181818181818182,0.3076923076923077,33.0
metro,0.5757575757575758,0.5757575757575758,0.5757575757575758,33.0
metro_station,0.4339622641509434,0.696969696969697,0.5348837209302325,33.0
park,0.8333333333333334,0.30303030303030304,0.4444444444444444,33.0
public_square,0.42105263157894735,0.48484848484848486,0.4507042253521127,33.0
shopping_mall,0.4666666666666667,0.6363636363636364,0.5384615384615384,33.0
street_pedestrian,0.6666666666666666,0.06060606060606061,0.1111111111111111,33.0
street_traffic,0.6774193548387096,0.6363636363636364,0.65625,33.0
tram,0.3373493975903614,0.8484848484848485,0.4827586206896552,33.0
accuracy,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818
macro avg,0.5912207890583205,0.4818181818181818,0.4542741510540672,330.0
weighted avg,0.5912207890583204,0.4818181818181818,0.4542741510540673,330.0
