,precision,recall,f1-score,support
airport,0.4666666666666667,0.875,0.6086956521739131,32.0
bus,1.0,0.3333333333333333,0.5,33.0
metro,0.5833333333333334,0.8484848484848485,0.691358024691358,33.0
metro_station,1.0,0.5454545454545454,0.7058823529411765,33.0
park,0.7948717948717948,0.9393939393939394,0.8611111111111112,33.0
public_square,0.52,0.3939393939393939,0.4482758620689655,33.0
shopping_mall,0.6428571428571429,0.5454545454545454,0.5901639344262295,33.0
street_pedestrian,0.6666666666666666,0.12121212121212122,0.20512820512820512,33.0
street_traffic,0.6956521739130435,0.9696969696969697,0.810126582278481,33.0
tram,0.5625,0.8181818181818182,0.6666666666666666,33.0
accuracy,0.6382978723404256,0.6382978723404256,0.6382978723404256,0.6382978723404256
macro avg,0.6932547778308648,0.6390151515151515,0.6087408391486108,329.0
weighted avg,0.6939434954939778,0.6382978723404256,0.6087409764950383,329.0
