,precision,recall,f1-score,support
airport,0.717948717948718,0.8484848484848485,0.7777777777777778,33.0
bus,0.9583333333333334,0.696969696969697,0.8070175438596491,33.0
metro,0.6842105263157895,0.7878787878787878,0.7323943661971831,33.0
metro_station,0.8181818181818182,0.5454545454545454,0.6545454545454545,33.0
park,0.8529411764705882,0.8787878787878788,0.8656716417910447,33.0
public_square,0.7241379310344828,0.6363636363636364,0.6774193548387096,33.0
shopping_mall,0.6857142857142857,0.7272727272727273,0.7058823529411765,33.0
street_pedestrian,0.6296296296296297,0.5151515151515151,0.5666666666666667,33.0
street_traffic,0.7948717948717948,0.9393939393939394,0.8611111111111112,33.0
tram,0.6904761904761905,0.90625,0.7837837837837838,32.0
accuracy,0.7477203647416414,0.7477203647416414,0.7477203647416414,0.7477203647416414
macro avg,0.755644540397663,0.7482007575757577,0.7432270053512557,329.0
weighted avg,0.7558426204886097,0.7477203647416414,0.743103732468482,329.0
