,precision,recall,f1-score,support
airport,0.5185185185185185,0.42424242424242425,0.4666666666666667,33.0
bus,1.0,0.2727272727272727,0.42857142857142855,33.0
metro,0.631578947368421,0.36363636363636365,0.46153846153846156,33.0
metro_station,0.7272727272727273,0.48484848484848486,0.5818181818181818,33.0
park,1.0,0.5151515151515151,0.68,33.0
public_square,0.21428571428571427,0.18181818181818182,0.19672131147540983,33.0
shopping_mall,0.9230769230769231,0.36363636363636365,0.5217391304347826,33.0
street_pedestrian,0.5,0.18181818181818182,0.26666666666666666,33.0
street_traffic,0.3235294117647059,1.0,0.4888888888888889,33.0
tram,0.3950617283950617,0.9696969696969697,0.5614035087719298,33.0
accuracy,0.47575757575757577,0.47575757575757577,0.47575757575757577,0.47575757575757577
macro avg,0.6233323970682071,0.47575757575757577,0.46540142448324157,330.0
weighted avg,0.6233323970682072,0.47575757575757577,0.46540142448324157,330.0
