,precision,recall,f1-score,support
airport,0.7407407407407407,0.6060606060606061,0.6666666666666666,33.0
bus,0.8648648648648649,0.9696969696969697,0.9142857142857143,33.0
metro,0.9310344827586207,0.8181818181818182,0.8709677419354839,33.0
metro_station,0.7352941176470589,0.7575757575757576,0.746268656716418,33.0
park,0.8823529411764706,0.9090909090909091,0.8955223880597015,33.0
public_square,0.7407407407407407,0.6060606060606061,0.6666666666666666,33.0
shopping_mall,0.6285714285714286,0.6666666666666666,0.6470588235294118,33.0
street_pedestrian,0.5,0.5757575757575758,0.5352112676056338,33.0
street_traffic,0.8484848484848485,0.8484848484848485,0.8484848484848485,33.0
tram,0.8333333333333334,0.9090909090909091,0.8695652173913043,33.0
accuracy,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667
macro avg,0.7705417498318107,0.7666666666666667,0.7660697991341849,330.0
weighted avg,0.7705417498318107,0.7666666666666667,0.7660697991341849,330.0
