,precision,recall,f1-score,support
airport,0.5555555555555556,0.78125,0.6493506493506493,32.0
bus,0.9,0.5454545454545454,0.6792452830188679,33.0
metro,0.6363636363636364,0.8484848484848485,0.7272727272727273,33.0
metro_station,0.7777777777777778,0.6363636363636364,0.7,33.0
park,0.8055555555555556,0.8787878787878788,0.8405797101449275,33.0
public_square,0.5,0.5454545454545454,0.5217391304347826,33.0
shopping_mall,0.6538461538461539,0.5151515151515151,0.576271186440678,33.0
street_pedestrian,0.6,0.45454545454545453,0.5172413793103449,33.0
street_traffic,0.90625,0.8787878787878788,0.8923076923076924,33.0
tram,0.6842105263157895,0.7878787878787878,0.7323943661971831,33.0
accuracy,0.6869300911854104,0.6869300911854104,0.6869300911854104,0.6869300911854104
macro avg,0.7019559205414468,0.6872159090909091,0.6836402124477853,329.0
weighted avg,0.702400906453258,0.6869300911854104,0.6837444360438252,329.0
