,precision,recall,f1-score,support
airport,0.6923076923076923,0.8181818181818182,0.75,33.0
bus,0.875,0.8484848484848485,0.8615384615384616,33.0
metro,0.696969696969697,0.696969696969697,0.696969696969697,33.0
metro_station,0.6875,0.6666666666666666,0.676923076923077,33.0
park,0.7894736842105263,0.9090909090909091,0.8450704225352113,33.0
public_square,0.8,0.48484848484848486,0.6037735849056604,33.0
shopping_mall,0.71875,0.696969696969697,0.7076923076923077,33.0
street_pedestrian,0.625,0.6060606060606061,0.6153846153846154,33.0
street_traffic,0.8378378378378378,0.9393939393939394,0.8857142857142857,33.0
tram,0.7058823529411765,0.75,0.7272727272727273,32.0
accuracy,0.7416413373860182,0.7416413373860182,0.7416413373860182,0.7416413373860182
macro avg,0.742872126426693,0.7416666666666667,0.7370339178936043,329.0
weighted avg,0.7429845573491414,0.7416413373860182,0.7370635871660082,329.0
