,precision,recall,f1-score,support
airport,0.7647058823529411,0.3939393939393939,0.52,33.0
bus,0.9130434782608695,0.6363636363636364,0.75,33.0
metro,0.6363636363636364,0.6363636363636364,0.6363636363636364,33.0
metro_station,0.574468085106383,0.8181818181818182,0.675,33.0
park,0.9130434782608695,0.6363636363636364,0.75,33.0
public_square,0.5517241379310345,0.48484848484848486,0.5161290322580645,33.0
shopping_mall,0.5483870967741935,0.5151515151515151,0.53125,33.0
street_pedestrian,0.3620689655172414,0.6363636363636364,0.46153846153846156,33.0
street_traffic,0.8235294117647058,0.8484848484848485,0.835820895522388,33.0
tram,0.5428571428571428,0.5757575757575758,0.5588235294117647,33.0
accuracy,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6181818181818182
macro avg,0.6630191315189017,0.6181818181818183,0.6234925555094315,330.0
weighted avg,0.6630191315189018,0.6181818181818182,0.6234925555094315,330.0
