,precision,recall,f1-score,support
airport,0.48717948717948717,0.5757575757575758,0.5277777777777778,33.0
shopping_mall,0.49122807017543857,0.8484848484848485,0.6222222222222222,33.0
park,0.8666666666666667,0.7878787878787878,0.8253968253968254,33.0
street_pedestrian,1.0,0.06060606060606061,0.11428571428571428,33.0
street_traffic,0.8947368421052632,0.5151515151515151,0.6538461538461539,33.0
metro_station,0.325,0.3939393939393939,0.3561643835616438,33.0
public_square,0.3333333333333333,0.30303030303030304,0.31746031746031744,33.0
metro,0.43243243243243246,0.48484848484848486,0.45714285714285713,33.0
bus,0.5925925925925926,0.48484848484848486,0.5333333333333333,33.0
tram,0.375,0.5625,0.45,32.0
accuracy,0.5015197568389058,0.5015197568389058,0.5015197568389058,0.5015197568389058
macro avg,0.5798169424485213,0.5017045454545455,0.48576295850268447,329.0
weighted avg,0.5804394863465412,0.5015197568389058,0.48587166050421243,329.0
