,precision,recall,f1-score,support
airport,0.4666666666666667,0.21212121212121213,0.2916666666666667,33.0
shopping_mall,0.29,0.8787878787878788,0.43609022556390975,33.0
park,1.0,0.24242424242424243,0.3902439024390244,33.0
street_pedestrian,0.0,0.0,0.0,33.0
street_traffic,0.6842105263157895,0.3939393939393939,0.5,33.0
metro_station,0.25,0.21212121212121213,0.22950819672131148,33.0
public_square,0.18518518518518517,0.45454545454545453,0.2631578947368421,33.0
metro,0.32727272727272727,0.5454545454545454,0.4090909090909091,33.0
bus,1.0,0.06060606060606061,0.11428571428571428,33.0
tram,0.2727272727272727,0.18181818181818182,0.21818181818181817,33.0
accuracy,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182
macro avg,0.4476062378167641,0.3181818181818182,0.28522253276861964,330.0
weighted avg,0.4476062378167641,0.3181818181818182,0.2852225327686196,330.0
