,precision,recall,f1-score,support
airport,0.5,0.06060606060606061,0.10810810810810811,33.0
shopping_mall,0.3409090909090909,0.9090909090909091,0.49586776859504134,33.0
park,1.0,0.15151515151515152,0.2631578947368421,33.0
street_pedestrian,0.0,0.0,0.0,33.0
street_traffic,0.6785714285714286,0.5757575757575758,0.6229508196721312,33.0
metro_station,0.3055555555555556,0.6666666666666666,0.41904761904761906,33.0
public_square,0.2,0.3939393939393939,0.2653061224489796,33.0
metro,0.30434782608695654,0.21212121212121213,0.25,33.0
bus,1.0,0.030303030303030304,0.058823529411764705,33.0
tram,0.36363636363636365,0.48484848484848486,0.4155844155844156,33.0
accuracy,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3484848484848485
macro avg,0.46930202647593944,0.3484848484848485,0.2898846277604902,330.0
weighted avg,0.4693020264759395,0.3484848484848485,0.2898846277604901,330.0
