,precision,recall,f1-score,support
airport,0.7777777777777778,0.4375,0.56,32.0
bus,1.0,0.30303030303030304,0.46511627906976744,33.0
metro,0.5660377358490566,0.9090909090909091,0.6976744186046512,33.0
metro_station,0.59375,0.5757575757575758,0.5846153846153846,33.0
park,0.7021276595744681,1.0,0.825,33.0
public_square,0.4166666666666667,0.45454545454545453,0.43478260869565216,33.0
shopping_mall,0.4339622641509434,0.696969696969697,0.5348837209302325,33.0
street_pedestrian,0.5714285714285714,0.36363636363636365,0.4444444444444444,33.0
street_traffic,1.0,0.7575757575757576,0.8620689655172413,33.0
tram,0.7647058823529411,0.7878787878787878,0.7761194029850746,33.0
accuracy,0.6291793313069909,0.6291793313069909,0.6291793313069909,0.6291793313069909
macro avg,0.6826456557800424,0.6285984848484849,0.6184705224862448,329.0
weighted avg,0.6823565003940312,0.6291793313069909,0.6186482444390905,329.0
