,precision,recall,f1-score,support
airport,0.6341463414634146,0.7878787878787878,0.7027027027027027,33.0
bus,0.8857142857142857,0.9393939393939394,0.9117647058823529,33.0
metro,0.9642857142857143,0.8181818181818182,0.8852459016393442,33.0
metro_station,0.8214285714285714,0.696969696969697,0.7540983606557377,33.0
park,0.9666666666666667,0.8787878787878788,0.9206349206349206,33.0
public_square,0.6571428571428571,0.696969696969697,0.6764705882352942,33.0
shopping_mall,0.6571428571428571,0.696969696969697,0.6764705882352942,33.0
street_pedestrian,0.68,0.5151515151515151,0.5862068965517241,33.0
street_traffic,0.8571428571428571,0.9090909090909091,0.8823529411764706,33.0
tram,0.7894736842105263,0.9090909090909091,0.8450704225352113,33.0
accuracy,0.7848484848484848,0.7848484848484848,0.7848484848484848,0.7848484848484848
macro avg,0.7913143835197751,0.7848484848484849,0.7841018028249052,330.0
weighted avg,0.791314383519775,0.7848484848484848,0.7841018028249053,330.0
